list,experimental_list,block,item_order,item_id,Condition,block_within_speaker,name,image,guise,topic,sentence,question,Answer,audio,trial_type,audio_question,audio_answer,audio_alt1,audio_alt2,audio_alt3
M1_list1BaseA-a,list1BaseA-a,3,4,Without_12_Y,Without,1,Ashley,w1_face.png,Northern,anyways,that's not true since Alice went out partying without her earrings off this Friday night.,Was Alice wearing her earrings when she partied on Friday?,y,Ashley_Northern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,4,0,NA,NA,1,Shelby,w4_face.png,NA,NA,NA,NA,NA,Shelby_Southern2_NoCollege_EPCAgreement.wav,audio,Where is Shelby from?,Rural part of eastern Tennessee,Small town on the Florida panhandle,Central Indiana,"Suburb of Boston, Massachusetts"
M1_list1BaseA-a,list1BaseA-a,4,1,Colloq6,Colloq,1,Shelby,w4_face.png,Southern,omg,jimmy was talking to a girl after class. we have got to have a convo NOW,Was Jimmy talking to a girl?,y,Shelby_Southern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,4,2,SVA_43_SSS,SVA,1,Shelby,w4_face.png,Southern,but yeah about that takeout order,of course the pizza for the teenager really was ready to eat.,Was there more than one pizza ready to eat?,n,Shelby_Southern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,4,3,SVA_24_SSP,SVA,1,Shelby,w4_face.png,Southern,got a Law and Order recap,and she said that the witness for the lawyer literally were out to lunch.,Was there more than one witness out to lunch?,n,Shelby_Southern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,4,4,Colloq26,Colloq,1,Shelby,w4_face.png,Southern,you free tn at 9?,you should def come with us to see that new scary movie tn!!,Does Shelby want to watch a film?,y,Shelby_Southern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,5,0,NA,NA,2,Hayley,w3_face.png,NA,NA,NA,NA,NA,Hayley_Southern1_NoCollege_EPCAgreement.wav,audio,Where is Hayley from?,Mountains of southwest Virginia,New York City,Suburbs of St. Louis,Farm community in central Kansas
M1_list1BaseA-a,list1BaseA-a,5,1,Colloq18,Colloq,2,Hayley,w3_face.png,Southern,yess Jane's cooking,ugh my roomates pasta is literally the best omg,Does Hayley like her roommate's cooking?,y,Hayley_Southern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,5,2,GlobalAmb2,GlobalAmb,2,Hayley,w3_face.png,Southern,you gotta hear this,in this story the butler of the actor who did not like himself very much caught the armed robber.,Was it the butler who didn't like himself?,n,Hayley_Southern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,5,3,SVA_4_SPS,SVA,2,Hayley,w3_face.png,Southern,clearly a party,it's obvious because the door to the rooms finally was all nicely decorated.,Was there more than one door with nice decorations?,n,Hayley_Southern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,5,4,SVA_3_SPS,SVA,2,Hayley,w3_face.png,Southern,talk about dedication,Tom said the author of the novels actually was in the haunted cabin.,Was there more than one author in the cabin?,n,Hayley_Southern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,6,0,NA,NA,2,Madison,w2_face.png,NA,NA,NA,NA,NA,Madison_Northern2_NoCollege_EPCAgreement.wav,audio,Where is Madison from?,"Suburbs of Columbus, Ohio",Coast of Maine,Rural part of Nebraska,"Chicago, Illinois"
M1_list1BaseA-a,list1BaseA-a,6,1,Colloq29,Colloq,2,Madison,w2_face.png,Northern,this sucks,this online class is actually so annoying and useless omg,Does Madison have obligations she doesn't like much?,y,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,6,2,SVA_19_SSP,SVA,2,Madison,w2_face.png,Northern,so the dangerous dog,I heard that the lawsuit against the owner actually were for revenge.,Was there more than one lawsuit used for revenge?,n,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,6,3,SVA_28_SPP,SVA,2,Madison,w2_face.png,Northern,finally looked at the top shelf,but I saw that the box for the gifts literally were in the closet.,Was there more than one box in the closet?,n,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,6,4,PNC_20_C,PNC,2,Madison,w2_face.png,Northern,back to the library all-nighter,yesterday I saw that the librarian stopped a book from actually falling off the shelf.,Did the book fall off of the shelf?,n,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,7,0,NA,NA,2,Ashley,w1_face.png,NA,NA,NA,NA,NA,Ashley_Northern1_NoCollege_EPCAgreement.wav,audio,Where is Ashley from?,Outside of D.C.,Desert town in western Nevada,Near San Francisco,Small town in eastern Pennsylvania
M1_list1BaseA-a,list1BaseA-a,7,1,PNC_1_C,PNC,2,Ashley,w1_face.png,Northern,oh wow,last week a lifeguard saved a child from surely drowning at the local pool.,Did the child drown at the local pool?,n,Ashley_Northern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,7,2,SC-DObias-pp2,SC-DObias-pp,2,Ashley,w1_face.png,Northern,back to the gallery interview,"it's too bad, the art critics wrote the interviews had been a complete disaster.",Did more than one interview go poorly?,y,Ashley_Northern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,7,3,ORC-lexicalverb-pp2,ORC-lexicalverb-pp,2,Ashley,w1_face.png,Northern,anyways,so the students the representatives addressed wore jeans to the reception.,Did the dress code seem formal?,n,Ashley_Northern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,7,4,SVA_8_SPS,SVA,2,Ashley,w1_face.png,Northern,"so, pest control",I found out that the trap for the rats really was in the basement.,Was there more than one trap in the basement?,n,Ashley_Northern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,8,0,NA,NA,2,Shelby,w4_face.png,NA,NA,NA,NA,NA,Shelby_Southern2_NoCollege_EPCAgreement.wav,audio,Where is Shelby from?,Rural part of eastern Tennessee,Small town on the Florida panhandle,Central Indiana,"Suburb of Boston, Massachusetts"
M1_list1BaseA-a,list1BaseA-a,8,1,Without_7_N,Without,2,Shelby,w4_face.png,Southern,anyways bedtime,his girlfriend remembered that Jim went to bed without his socks on last night.,Was Jim wearing his socks when he went to bed?,n,Shelby_Southern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,8,2,SVA_15_SSS,SVA,2,Shelby,w4_face.png,Southern,about the baby shower,she said the present for the baby probably was in the closet.,Was there more than one present in the closet?,n,Shelby_Southern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,8,3,Colloq21,Colloq,2,Shelby,w4_face.png,Southern,ughhh,idk why my mom is calling me so much. i'm fine!!,Did Shelby receive many calls from her mother?,y,Shelby_Southern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,8,4,SVA_33_SPP,SVA,2,Shelby,w4_face.png,Southern,not just stamps,he noticed that the envelope for the letters finally were in the drawer.,Was there more than one envelope in the drawer?,n,Shelby_Southern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,1,0,NA,NA,1,Shelby,w4_face.png,NA,NA,NA,NA,NA,Shelby_Southern2_NoCollege_EPCAgreement.wav,audio,Where is Shelby from?,Rural part of eastern Tennessee,Small town on the Florida panhandle,Central Indiana,"Suburb of Boston, Massachusetts"
M1_list1BaseA-b,list1BaseA-b,1,1,Colloq6,Colloq,1,Shelby,w4_face.png,Southern,omg,jimmy was talking to a girl after class. we have got to have a convo NOW,Was Jimmy talking to a girl?,y,Shelby_Southern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,1,2,SVA_43_SSS,SVA,1,Shelby,w4_face.png,Southern,but yeah about that takeout order,of course the pizza for the teenager really was ready to eat.,Was there more than one pizza ready to eat?,n,Shelby_Southern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,1,3,SVA_24_SSP,SVA,1,Shelby,w4_face.png,Southern,got a Law and Order recap,and she said that the witness for the lawyer literally were out to lunch.,Was there more than one witness out to lunch?,n,Shelby_Southern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,1,4,Colloq26,Colloq,1,Shelby,w4_face.png,Southern,you free tn at 9?,you should def come with us to see that new scary movie tn!!,Does Shelby want to watch a film?,y,Shelby_Southern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,2,0,NA,NA,1,Ashley,w1_face.png,NA,NA,NA,NA,NA,Ashley_Northern1_NoCollege_EPCAgreement.wav,audio,Where is Ashley from?,Outside of D.C.,Desert town in western Nevada,Near San Francisco,Small town in eastern Pennsylvania
M1_list1BaseA-b,list1BaseA-b,2,1,GlobalAmb7,GlobalAmb,1,Ashley,w1_face.png,Northern,a few plot spoilers:,in the movie the uncle of the milkman who had to support himself with a low income liked to fish.,Was it the milkman who was self-supporting?,y,Ashley_Northern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,2,2,Without_4_Y,Without,1,Ashley,w1_face.png,Northern,anyways exercise,he saw that Lulu visited the gym without her hat off late yesterday night.,Was Lulu wearing her hat when she visited the gym?,y,Ashley_Northern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,2,3,SVA_47_SSP,SVA,1,Ashley,w1_face.png,Northern,this is convenient,did you notice that the tray for the meal totally were left over there.,Was there more than one tray left over there?,n,Ashley_Northern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,2,4,Without_12_Y,Without,1,Ashley,w1_face.png,Northern,anyways,that's not true since Alice went out partying without her earrings off this Friday night.,Was Alice wearing her earrings when she partied on Friday?,y,Ashley_Northern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,3,0,NA,NA,1,Madison,w2_face.png,NA,NA,NA,NA,NA,Madison_Northern2_NoCollege_EPCAgreement.wav,audio,Where is Madison from?,"Suburbs of Columbus, Ohio",Coast of Maine,Rural part of Nebraska,"Chicago, Illinois"
M1_list1BaseA-b,list1BaseA-b,3,1,Without_6_Y,Without,1,Madison,w2_face.png,Northern,ugh frostbite,it's probably because Patrick decided to ski without his gloves off last weekend.,Was Patrick wearing his gloves when he decided to ski?,y,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,3,2,SVA_35_SPP,SVA,1,Madison,w2_face.png,Northern,look behind the door,did you notice that the hook for the jackets totally were on the wall.,Was there more than one hook on the wall?,n,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,3,3,Colloq9,Colloq,1,Madison,w2_face.png,Northern,hey,you going to mark's party tmrw night?,Is Mark having an event?,y,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,3,4,SVA_48_SSS,SVA,1,Madison,w2_face.png,Northern,so shiny,it's so nice that the trophy for the competitor finally was on the stage.,Was there more than one trophy on the stage?,n,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,4,0,NA,NA,1,Hayley,w3_face.png,NA,NA,NA,NA,NA,Hayley_Southern1_NoCollege_EPCAgreement.wav,audio,Where is Hayley from?,Mountains of southwest Virginia,New York City,Suburbs of St. Louis,Farm community in central Kansas
M1_list1BaseA-b,list1BaseA-b,4,1,Colloq48,Colloq,1,Hayley,w3_face.png,Southern,so for the house party,is it alright if my friend comes to the thing tn??,Does Hayley intend to go to a party tonight?,y,Hayley_Southern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,4,2,Without_8_N,Without,1,Hayley,w3_face.png,Southern,haha,don't tell me Clara danced in the rain without her jacket on last night.,Was Clara wearing her jacket when she danced last night?,n,Hayley_Southern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,4,3,SVA_23_SSP,SVA,1,Hayley,w3_face.png,Southern,back to Niagra Falls,she said the van for the tourist finally were left parked a mile away.,Was there more than one van a mile away?,n,Hayley_Southern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,4,4,Colloq22,Colloq,1,Hayley,w3_face.png,Southern,so it's family weekend,after the game my brother will be coming over btw,Is Hayley going to spend some time with her brother soon?,y,Hayley_Southern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,5,0,NA,NA,2,Ashley,w1_face.png,NA,NA,NA,NA,NA,Ashley_Northern1_NoCollege_EPCAgreement.wav,audio,Where is Ashley from?,Outside of D.C.,Desert town in western Nevada,Near San Francisco,Small town in eastern Pennsylvania
M1_list1BaseA-b,list1BaseA-b,5,1,PNC_1_C,PNC,2,Ashley,w1_face.png,Northern,oh wow,last week a lifeguard saved a child from surely drowning at the local pool.,Did the child drown at the local pool?,n,Ashley_Northern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,5,2,SC-DObias-pp2,SC-DObias-pp,2,Ashley,w1_face.png,Northern,back to the gallery interview,"it's too bad, the art critics wrote the interviews had been a complete disaster.",Did more than one interview go poorly?,y,Ashley_Northern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,5,3,ORC-lexicalverb-pp2,ORC-lexicalverb-pp,2,Ashley,w1_face.png,Northern,anyways,so the students the representatives addressed wore jeans to the reception.,Did the dress code seem formal?,n,Ashley_Northern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,5,4,SVA_8_SPS,SVA,2,Ashley,w1_face.png,Northern,"so, pest control",I found out that the trap for the rats really was in the basement.,Was there more than one trap in the basement?,n,Ashley_Northern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,6,0,NA,NA,2,Shelby,w4_face.png,NA,NA,NA,NA,NA,Shelby_Southern2_NoCollege_EPCAgreement.wav,audio,Where is Shelby from?,Rural part of eastern Tennessee,Small town on the Florida panhandle,Central Indiana,"Suburb of Boston, Massachusetts"
M1_list1BaseA-b,list1BaseA-b,6,1,Without_7_N,Without,2,Shelby,w4_face.png,Southern,anyways bedtime,his girlfriend remembered that Jim went to bed without his socks on last night.,Was Jim wearing his socks when he went to bed?,n,Shelby_Southern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,6,2,SVA_15_SSS,SVA,2,Shelby,w4_face.png,Southern,about the baby shower,she said the present for the baby probably was in the closet.,Was there more than one present in the closet?,n,Shelby_Southern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,6,3,Colloq21,Colloq,2,Shelby,w4_face.png,Southern,ughhh,idk why my mom is calling me so much. i'm fine!!,Did Shelby receive many calls from her mother?,y,Shelby_Southern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,6,4,SVA_33_SPP,SVA,2,Shelby,w4_face.png,Southern,not just stamps,he noticed that the envelope for the letters finally were in the drawer.,Was there more than one envelope in the drawer?,n,Shelby_Southern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,7,0,NA,NA,2,Hayley,w3_face.png,NA,NA,NA,NA,NA,Hayley_Southern1_NoCollege_EPCAgreement.wav,audio,Where is Hayley from?,Mountains of southwest Virginia,New York City,Suburbs of St. Louis,Farm community in central Kansas
M1_list1BaseA-b,list1BaseA-b,7,1,Colloq18,Colloq,2,Hayley,w3_face.png,Southern,yess Jane's cooking,ugh my roomates pasta is literally the best omg,Does Hayley like her roommate's cooking?,y,Hayley_Southern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,7,2,GlobalAmb2,GlobalAmb,2,Hayley,w3_face.png,Southern,you gotta hear this,in this story the butler of the actor who did not like himself very much caught the armed robber.,Was it the butler who didn't like himself?,n,Hayley_Southern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,7,3,SVA_4_SPS,SVA,2,Hayley,w3_face.png,Southern,clearly a party,it's obvious because the door to the rooms finally was all nicely decorated.,Was there more than one door with nice decorations?,n,Hayley_Southern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,7,4,SVA_3_SPS,SVA,2,Hayley,w3_face.png,Southern,talk about dedication,Tom said the author of the novels actually was in the haunted cabin.,Was there more than one author in the cabin?,n,Hayley_Southern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,8,0,NA,NA,2,Madison,w2_face.png,NA,NA,NA,NA,NA,Madison_Northern2_NoCollege_EPCAgreement.wav,audio,Where is Madison from?,"Suburbs of Columbus, Ohio",Coast of Maine,Rural part of Nebraska,"Chicago, Illinois"
M1_list1BaseA-b,list1BaseA-b,8,1,Colloq29,Colloq,2,Madison,w2_face.png,Northern,this sucks,this online class is actually so annoying and useless omg,Does Madison have obligations she doesn't like much?,y,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,8,2,SVA_19_SSP,SVA,2,Madison,w2_face.png,Northern,so the dangerous dog,I heard that the lawsuit against the owner actually were for revenge.,Was there more than one lawsuit used for revenge?,n,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,8,3,SVA_28_SPP,SVA,2,Madison,w2_face.png,Northern,finally looked at the top shelf,but I saw that the box for the gifts literally were in the closet.,Was there more than one box in the closet?,n,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-b,list1BaseA-b,8,4,PNC_20_C,PNC,2,Madison,w2_face.png,Northern,back to the library all-nighter,yesterday I saw that the librarian stopped a book from actually falling off the shelf.,Did the book fall off of the shelf?,n,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseB-a,list1BaseB-a,1,0,NA,NA,1,Shelby,w4_face.png,NA,NA,NA,NA,NA,Shelby_Southern2_NoCollege_EPCAgreement.wav,audio,Where is Shelby from?,Rural part of eastern Tennessee,Small town on the Florida panhandle,Central Indiana,"Suburb of Boston, Massachusetts"
M1_list1BaseB-a,list1BaseB-a,1,1,Without_6_Y,Without,1,Shelby,w4_face.png,Southern,ugh frostbite,it's probably because Patrick decided to ski without his gloves off last weekend.,Was Patrick wearing his gloves when he decided to ski?,y,Shelby_Southern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseB-a,list1BaseB-a,1,2,SVA_35_SPP,SVA,1,Shelby,w4_face.png,Southern,look behind the door,did you notice that the hook for the jackets totally were on the wall.,Was there more than one hook on the wall?,n,Shelby_Southern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseB-a,list1BaseB-a,1,3,Colloq9,Colloq,1,Shelby,w4_face.png,Southern,hey,you going to mark's party tmrw night?,Is Mark having an event?,y,Shelby_Southern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseB-a,list1BaseB-a,1,4,SVA_48_SSS,SVA,1,Shelby,w4_face.png,Southern,so shiny,it's so nice that the trophy for the competitor finally was on the stage.,Was there more than one trophy on the stage?,n,Shelby_Southern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseB-a,list1BaseB-a,2,0,NA,NA,1,Ashley,w1_face.png,NA,NA,NA,NA,NA,Ashley_Northern1_NoCollege_EPCAgreement.wav,audio,Where is Ashley from?,Outside of D.C.,Desert town in western Nevada,Near San Francisco,Small town in eastern Pennsylvania
M1_list1BaseB-a,list1BaseB-a,2,1,Colloq48,Colloq,1,Ashley,w1_face.png,Northern,so for the house party,is it alright if my friend comes to the thing tn??,Does Ashley intend to go to a party tonight?,y,Ashley_Northern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseB-a,list1BaseB-a,2,2,Without_8_N,Without,1,Ashley,w1_face.png,Northern,haha,don't tell me Clara danced in the rain without her jacket on last night.,Was Clara wearing her jacket when she danced last night?,n,Ashley_Northern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseB-a,list1BaseB-a,2,3,SVA_23_SSP,SVA,1,Ashley,w1_face.png,Northern,back to Niagra Falls,she said the van for the tourist finally were left parked a mile away.,Was there more than one van a mile away?,n,Ashley_Northern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseB-a,list1BaseB-a,2,4,Colloq22,Colloq,1,Ashley,w1_face.png,Northern,so it's family weekend,after the game my brother will be coming over btw,Is Ashley going to spend some time with her brother soon?,y,Ashley_Northern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseB-a,list1BaseB-a,3,0,NA,NA,1,Hayley,w3_face.png,NA,NA,NA,NA,NA,Hayley_Southern1_NoCollege_EPCAgreement.wav,audio,Where is Hayley from?,Mountains of southwest Virginia,New York City,Suburbs of St. Louis,Farm community in central Kansas
M1_list1BaseB-a,list1BaseB-a,3,1,GlobalAmb7,GlobalAmb,1,Hayley,w3_face.png,Southern,a few plot spoilers:,in the movie the uncle of the milkman who had to support himself with a low income liked to fish.,Was it the milkman who was self-supporting?,y,Hayley_Southern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseB-a,list1BaseB-a,3,2,Without_4_Y,Without,1,Hayley,w3_face.png,Southern,anyways exercise,he saw that Lulu visited the gym without her hat off late yesterday night.,Was Lulu wearing her hat when she visited the gym?,y,Hayley_Southern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
